Individual,figure,filename,Experiment,treatment,dpf,protocol,clutch,sample purpose
Uni_C1,3,iSeq048-TM-LHamp-136-cREG1-100-100d_S235_L001_R1_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,C,ref.conformity
Uni_C1,3,iSeq048-TM-LHamp-136-cREG1-100-100d_S235_L001_R2_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,C,ref.conformity
Uni_C2,3,iSeq048-TM-LHamp-137-cREG1-100-100d_S236_L001_R1_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,C,ref.conformity
Uni_C2,3,iSeq048-TM-LHamp-137-cREG1-100-100d_S236_L001_R2_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,C,ref.conformity
Uni_C3,3,iSeq048-TM-LHamp-138-cREG1-100-100d_S237_L001_R1_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,C,ref.conformity
Uni_C3,3,iSeq048-TM-LHamp-138-cREG1-100-100d_S237_L001_R2_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,C,ref.conformity
Uni_C4,3,iSeq048-TM-LHamp-139-cREG1-100-100d_S238_L001_R1_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,C,ref.conformity
Uni_C4,3,iSeq048-TM-LHamp-139-cREG1-100-100d_S238_L001_R2_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,C,ref.conformity
Uni_C5,3,iSeq048-TM-LHamp-140-cREG1-100-100d_S239_L001_R1_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,C,ref.conformity
Uni_C5,3,iSeq048-TM-LHamp-140-cREG1-100-100d_S239_L001_R2_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,C,ref.conformity
Uni_C6,3,iSeq048-TM-LHamp-141-cREG1-100-100d_S240_L001_R1_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,C,ref.conformity
Uni_C6,3,iSeq048-TM-LHamp-141-cREG1-100-100d_S240_L001_R2_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,C,ref.conformity
Uni_C7,3,iSeq048-TM-LHamp-142-cREG1-100-100d_S241_L001_R1_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,C,ref.conformity
Uni_C7,3,iSeq048-TM-LHamp-142-cREG1-100-100d_S241_L001_R2_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,C,ref.conformity
Uni_C8,3,iSeq048-TM-LHamp-143-cREG1-100-100d_S242_L001_R1_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,C,ref.conformity
Uni_C8,3,iSeq048-TM-LHamp-143-cREG1-100-100d_S242_L001_R2_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,C,ref.conformity
Uni_C9,3,iSeq048-TM-LHamp-144-cREG1-100-100d_S243_L001_R1_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,C,ref.conformity
Uni_C9,3,iSeq048-TM-LHamp-144-cREG1-100-100d_S243_L001_R2_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,C,ref.conformity
Uni_C10,3,iSeq048-TM-LHamp-145-cREG1-100-100d_S244_L001_R1_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,C,ref.conformity
Uni_C10,3,iSeq048-TM-LHamp-145-cREG1-100-100d_S244_L001_R2_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,C,ref.conformity
Uni_C11,3,iSeq048-TM-LHamp-146-cREG1-100-100d_S245_L001_R1_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,C,ref.conformity
Uni_C11,3,iSeq048-TM-LHamp-146-cREG1-100-100d_S245_L001_R2_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,C,ref.conformity
Uni_C12,3,iSeq048-TM-LHamp-147-cREG1-100-100d_S246_L001_R1_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,C,ref.conformity
Uni_C12,3,iSeq048-TM-LHamp-147-cREG1-100-100d_S246_L001_R2_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,C,ref.conformity
Uni_C13,3,iSeq048-TM-LHamp-148-cREG1-100-100d_S247_L001_R1_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,C,ref.conformity
Uni_C13,3,iSeq048-TM-LHamp-148-cREG1-100-100d_S247_L001_R2_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,C,ref.conformity
Uni_C14,3,iSeq048-TM-LHamp-149-cREG1-100-100d_S248_L001_R1_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,C,ref.conformity
Uni_C14,3,iSeq048-TM-LHamp-149-cREG1-100-100d_S248_L001_R2_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,C,ref.conformity
