Individual,figure,filename,Experiment,treatment,dpf,protocol,clutch,sample purpose,length [mm],comment
T213139,2c,iSeq049-TM-T213-LHamp_S226_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,A,ref.conformity,10.096,re-sequenced to increase read numbers
T213139,2c,iSeq049-TM-T213-LHamp_S226_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,A,ref.conformity,10.096,re-sequenced to increase read numbers
T214140,2c,iSeq049-TM-T214-LHamp_S227_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,A,ref.conformity,10.416,re-sequenced to increase read numbers
T214140,2c,iSeq049-TM-T214-LHamp_S227_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,A,ref.conformity,10.416,re-sequenced to increase read numbers
T215141,2c,iSeq049-TM-T215-LHamp_S228_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,A,ref.conformity,10.646,re-sequenced to increase read numbers
T215141,2c,iSeq049-TM-T215-LHamp_S228_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,A,ref.conformity,10.646,re-sequenced to increase read numbers
T216142,2c,iSeq049-TM-T216-LHamp_S229_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,A,ref.conformity,10.628,re-sequenced to increase read numbers
T216142,2c,iSeq049-TM-T216-LHamp_S229_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,A,ref.conformity,10.628,re-sequenced to increase read numbers
T217143,2c,iSeq049-TM-T217-LHamp_S230_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,A,ref.conformity,10.318,re-sequenced to increase read numbers
T217143,2c,iSeq049-TM-T217-LHamp_S230_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,A,ref.conformity,10.318,re-sequenced to increase read numbers
T218144,2c,iSeq049-TM-T218-LHamp_S231_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,A,ref.conformity,10.006,re-sequenced to increase read numbers
T218144,2c,iSeq049-TM-T218-LHamp_S231_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,A,ref.conformity,10.006,re-sequenced to increase read numbers
T219145,2c,iSeq049-TM-T219-LHamp_S232_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,A,ref.conformity,10.972,re-sequenced to increase read numbers
T219145,2c,iSeq049-TM-T219-LHamp_S232_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,A,ref.conformity,10.972,re-sequenced to increase read numbers
T220146,2c,iSeq049-TM-T220-LHamp_S233_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,A,ref.conformity,9.377,re-sequenced to increase read numbers
T220146,2c,iSeq049-TM-T220-LHamp_S233_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,A,ref.conformity,9.377,re-sequenced to increase read numbers
T221147,2c,iSeq049-TM-T221-LHamp_S234_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,A,ref.conformity,6.902,re-sequenced to increase read numbers
T221147,2c,iSeq049-TM-T221-LHamp_S234_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,A,ref.conformity,6.902,re-sequenced to increase read numbers
T222148,2c,iSeq049-TM-T222-LHamp_S235_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,A,ref.conformity,9.285,re-sequenced to increase read numbers
T222148,2c,iSeq049-TM-T222-LHamp_S235_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,A,ref.conformity,9.285,re-sequenced to increase read numbers
T223149,2c,iSeq049-TM-T223-LHamp_S236_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,A,ref.conformity,7.831,re-sequenced to increase read numbers
T223149,2c,iSeq049-TM-T223-LHamp_S236_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,A,ref.conformity,7.831,re-sequenced to increase read numbers
T224150,2c,iSeq049-TM-T224-LHamp_S237_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,A,ref.conformity,8.879,re-sequenced to increase read numbers
T224150,2c,iSeq049-TM-T224-LHamp_S237_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,A,ref.conformity,8.879,re-sequenced to increase read numbers
T225151,2c,iSeq049-TM-T225-LHamp_S238_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,B,ref.conformity,9.439,re-sequenced to increase read numbers
